"input","output","label"
"

Perform constituency parsing on the provided sentences in accordance with the Penn TreeBank annotation guidelines.
Input: """""" Ad Notes """""" >>> Output: """""" ( NP-HLN ( NN Ad ) ( NNS Notes ) ) """""" ##
Input: """""" The market crumbled """""" >>> Output: """""" ( S ( NP-SBJ ( DT The ) ( NN market ) ) ( VP ( VBD crumbled ) ) ) """""" ##
Input: """""" I felt betrayed he later said. """""" >>> Output: """""" ( S ( S-TPC-1 ( NP-SBJ ( PRP I ) ) ( VP ( VBD felt ) ( ADJP-PRD ( VBN betrayed ) ) ) ) ( NP-SBJ ( PRP he ) ) ( ADVP-TMP ( RB later ) ) ( VP ( VBD said ) ) ) """""" ##
Input: """""" When the price of plastics took off in 1987 Quantum Chemical Corp. went along for the ride """""" >>> Output: """"""","( S ( S-TPC-1 ( NP-SBJ ( NN When ) ) ( VP ( VBD the ) ( NN price ) ( NN of ) ( NN plastics ) ) ( ADVP-TMP ( RB took ) ) ( ADVP-TMP ( RB off ) ) ( NN in ) ( NN 1987 ) ) ) """""" ##","( S ( SBAR-TMP ( WHADVP-1 ( WRB When ) ) ( S ( NP-SBJ ( NP ( DT the ) ( NN price ) ) ( PP ( IN of ) ( NP ( NNS plastics ) ) ) ) ( VP ( VBD took ) ( PRT ( RP off ) ) ( PP-TMP ( IN in ) ( NP ( CD 1987 ) ) ) ) ) ) ( NP-SBJ ( NNP Quantum ) ( NNP Chemical ) ( NNP Corp. ) ) ( VP ( VBD went ) ( ADVP-CLR ( RB along ) ) ( PP-PRP ( IN for ) ( NP ( DT the ) ( NN ride ) ) ) ) )"
"

Perform constituency parsing on the provided sentences in accordance with the Penn TreeBank annotation guidelines.
Input: """""" Ad Notes """""" >>> Output: """""" ( NP-HLN ( NN Ad ) ( NNS Notes ) ) """""" ##
Input: """""" The market crumbled """""" >>> Output: """""" ( S ( NP-SBJ ( DT The ) ( NN market ) ) ( VP ( VBD crumbled ) ) ) """""" ##
Input: """""" I felt betrayed he later said. """""" >>> Output: """""" ( S ( S-TPC-1 ( NP-SBJ ( PRP I ) ) ( VP ( VBD felt ) ( ADJP-PRD ( VBN betrayed ) ) ) ) ( NP-SBJ ( PRP he ) ) ( ADVP-TMP ( RB later ) ) ( VP ( VBD said ) ) ) """""" ##
Input: """""" The company outpaced much of the chemical industry as annual profit grew fivefold in two years """""" >>> Output: """"""","( S ( S-TPC-1 ( NP-SBJ ( NN The ) ( NN company ) ) ( ADVP-TMP ( RB outpaced ) ) ) ( ADJP-PRD ( JJR much ) ( NN of ) ( NN the ) ( NN chemical ) ( NN industry ) ) ( ADVP-TMP ( RB as ) ) ( ADVP-TMP ( RB annual ) ) ( ADVP-TMP ( RB profit ) ) ( VBD grew ) ( ADVP-TMP ( RB fivefold ) ) ) """""" ##","( S ( NP-SBJ ( DT The ) ( NN company ) ) ( VP ( VBD outpaced ) ( NP ( NP ( JJ much ) ) ( PP ( IN of ) ( NP ( DT the ) ( JJ chemical ) ( NN industry ) ) ) ) ( SBAR-TMP ( IN as ) ( S ( NP-SBJ ( JJ annual ) ( NN profit ) ) ( VP ( VBD grew ) ( ADVP ( JJ fivefold ) ) ( PP-TMP ( IN in ) ( NP ( CD two ) ( NNS years ) ) ) ) ) ) ) )"
"

Perform constituency parsing on the provided sentences in accordance with the Penn TreeBank annotation guidelines.
Input: """""" Ad Notes """""" >>> Output: """""" ( NP-HLN ( NN Ad ) ( NNS Notes ) ) """""" ##
Input: """""" The market crumbled """""" >>> Output: """""" ( S ( NP-SBJ ( DT The ) ( NN market ) ) ( VP ( VBD crumbled ) ) ) """""" ##
Input: """""" I felt betrayed he later said. """""" >>> Output: """""" ( S ( S-TPC-1 ( NP-SBJ ( PRP I ) ) ( VP ( VBD felt ) ( ADJP-PRD ( VBN betrayed ) ) ) ) ( NP-SBJ ( PRP he ) ) ( ADVP-TMP ( RB later ) ) ( VP ( VBD said ) ) ) """""" ##
Input: """""" Mr. Stookey said of the boom It 's going to last a whole lot longer than anybody thinks """""" >>> Output: """"""","( S ( S-TPC-1 ( NP-SBJ ( NN Mr. ) ( NN Stookey ) ) ( VP ( VBD said ) ) ) ( S ( S-TPC-2 ( NP-SBJ ( NN the ) ( NN boom ) ) ( ADVP-TMP ( RB It ) ) ) ( ADJP-PRD ( VBN going ) ) ) ( ADVP-TMP ( RB to ) ) ) """""" ##","( S ( NP-SBJ ( NNP Mr. ) ( NNP Stookey ) ) ( VP ( VBD said ) ( PP-CLR ( IN of ) ( NP ( DT the ) ( NN boom ) ) ) ( SBAR ( S ( NP-SBJ-1 ( PRP It ) ) ( VP ( VBZ 's ) ( VP ( VBG going ) ( S ( VP ( TO to ) ( VP ( VB last ) ( ADVP-TMP ( ADVP ( NP ( DT a ) ( JJ whole ) ( NN lot ) ) ( RBR longer ) ) ( SBAR ( IN than ) ( S ( NP-SBJ ( NN anybody ) ) ( VP ( VBZ thinks ) ) ) ) ) ) ) ) ) ) ) ) ) )"
"

Perform constituency parsing on the provided sentences in accordance with the Penn TreeBank annotation guidelines.
Input: """""" Ad Notes """""" >>> Output: """""" ( NP-HLN ( NN Ad ) ( NNS Notes ) ) """""" ##
Input: """""" The market crumbled """""" >>> Output: """""" ( S ( NP-SBJ ( DT The ) ( NN market ) ) ( VP ( VBD crumbled ) ) ) """""" ##
Input: """""" I felt betrayed he later said. """""" >>> Output: """""" ( S ( S-TPC-1 ( NP-SBJ ( PRP I ) ) ( VP ( VBD felt ) ( ADJP-PRD ( VBN betrayed ) ) ) ) ( NP-SBJ ( PRP he ) ) ( ADVP-TMP ( RB later ) ) ( VP ( VBD said ) ) ) """""" ##
Input: """""" But now prices have nose-dived and Quantum 's profit is plummeting """""" >>> Output: """"""","( S ( S-TPC-1 ( NP-SBJ ( NN But ) ) ( VP ( VBD now ) ( ADVP-TMP ( RB prices ) ) ( VP ( VBD have ) ( ADVP-TMP ( RB nose-dived ) ) ) ) ( NP-SBJ ( NN Quantum ) ) ( VP ( VBD 's ) ( NN profit ) ) ) ( VP ( VBD is ) ( ADVP-TMP ( RB plummeting ) ) ) ) """""" ##","( S ( CC But ) ( ADVP-TMP ( RB now ) ) ( S ( NP-SBJ ( NNS prices ) ) ( VP ( VBP have ) ( VP ( VBN nose-dived ) ) ) ) ( CC and ) ( S ( NP-SBJ ( NP ( NNP Quantum ) ( POS 's ) ) ( NN profit ) ) ( VP ( VBZ is ) ( VP ( VBG plummeting ) ) ) ) )"
"

Perform constituency parsing on the provided sentences in accordance with the Penn TreeBank annotation guidelines.
Input: """""" Ad Notes """""" >>> Output: """""" ( NP-HLN ( NN Ad ) ( NNS Notes ) ) """""" ##
Input: """""" The market crumbled """""" >>> Output: """""" ( S ( NP-SBJ ( DT The ) ( NN market ) ) ( VP ( VBD crumbled ) ) ) """""" ##
Input: """""" I felt betrayed he later said. """""" >>> Output: """""" ( S ( S-TPC-1 ( NP-SBJ ( PRP I ) ) ( VP ( VBD felt ) ( ADJP-PRD ( VBN betrayed ) ) ) ) ( NP-SBJ ( PRP he ) ) ( ADVP-TMP ( RB later ) ) ( VP ( VBD said ) ) ) """""" ##
Input: """""" The stock having lost nearly a quarter of its value since Sept. 1 closed at 34.375 share down 1.125 in New York Stock Exchange composite trading Friday """""" >>> Output: """"""","( S ( S-TPC-1 ( NP-SBJ ( NN The ) ( NN stock ) ) ( VP ( VBD having ) ( ADVP-TMP ( RB lost ) ) ( ADVP-TMP ( RB nearly ) ) ( ADVP-TMP ( RB a ) ) ( ADVP-TMP ( RB quarter ) ) ( ADVP-TMP ( RB of ) ) ( ADVP-TMP ( RB its ) ) ( ADVP-TMP ( RB value ) ) ( ADVP-TMP ( RB since ) ) ( ADVP-TMP ( RB Sept. ) ) ( ADVP-TMP ( RB 1 ) ) ( ADVP-TMP ( RB closed ) ) ( ADVP-TMP ( RB at ) ) ( NN 34.375 ) ) ) ( NN share ) ) """""" ##","( S ( NP-SBJ-1 ( DT The ) ( NN stock ) ) ( S-ADV ( VP ( VBG having ) ( VP ( VBN lost ) ( NP ( NP ( QP ( RB nearly ) ( DT a ) ) ( NN quarter ) ) ( PP ( IN of ) ( NP ( PRP$ its ) ( NN value ) ) ) ) ( PP-TMP ( IN since ) ( NP ( NNP Sept. ) ( CD 1 ) ) ) ) ) ) ( VP ( VBD closed ) ( PP-CLR ( IN at ) ( NP ( NP ( CD 34.375 ) ) ( NP-ADV ( NN share ) ) ) ) ( ADVP ( RB down ) ( NP ( CD 1.125 ) ) ) ( PP-LOC ( IN in ) ( NP ( NNP New ) ( NNP York ) ( NNP Stock ) ( NNP Exchange ) ( JJ composite ) ( NN trading ) ) ) ( NP-TMP ( NNP Friday ) ) ) )"
"

Perform constituency parsing on the provided sentences in accordance with the Penn TreeBank annotation guidelines.
Input: """""" Ad Notes """""" >>> Output: """""" ( NP-HLN ( NN Ad ) ( NNS Notes ) ) """""" ##
Input: """""" The market crumbled """""" >>> Output: """""" ( S ( NP-SBJ ( DT The ) ( NN market ) ) ( VP ( VBD crumbled ) ) ) """""" ##
Input: """""" I felt betrayed he later said. """""" >>> Output: """""" ( S ( S-TPC-1 ( NP-SBJ ( PRP I ) ) ( VP ( VBD felt ) ( ADJP-PRD ( VBN betrayed ) ) ) ) ( NP-SBJ ( PRP he ) ) ( ADVP-TMP ( RB later ) ) ( VP ( VBD said ) ) ) """""" ##
Input: """""" To a degree Quantum represents the new times that have arrived for producers of the so-called commodity plastics that pervade modern life """""" >>> Output: """"""","( S ( S-TPC-1 ( NP-SBJ ( PRP To ) ) ( VP ( VBD a ) ( ADJP-PRD ( JJ degree ) ) ) ) ( NP-SBJ ( NN Quantum ) ) ) """""" ##","( S ( PP ( TO To ) ( NP ( DT a ) ( NN degree ) ) ) ( NP-SBJ ( NNP Quantum ) ) ( VP ( VBZ represents ) ( NP ( NP ( DT the ) ( JJ new ) ( NNS times ) ) ( SBAR ( WHNP-1 ( WDT that ) ) ( S ( VP ( VBP have ) ( VP ( VBN arrived ) ) ) ) ) ( PP ( IN for ) ( NP ( NP ( NNS producers ) ) ( PP ( IN of ) ( NP ( NP ( DT the ) ( JJ so-called ) ( NN commodity ) ( NNS plastics ) ) ( SBAR ( WHNP-2 ( WDT that ) ) ( S ( VP ( VBP pervade ) ( NP ( JJ modern ) ( NN life ) ) ) ) ) ) ) ) ) ) ) )"
"

Perform constituency parsing on the provided sentences in accordance with the Penn TreeBank annotation guidelines.
Input: """""" Ad Notes """""" >>> Output: """""" ( NP-HLN ( NN Ad ) ( NNS Notes ) ) """""" ##
Input: """""" The market crumbled """""" >>> Output: """""" ( S ( NP-SBJ ( DT The ) ( NN market ) ) ( VP ( VBD crumbled ) ) ) """""" ##
Input: """""" I felt betrayed he later said. """""" >>> Output: """""" ( S ( S-TPC-1 ( NP-SBJ ( PRP I ) ) ( VP ( VBD felt ) ( ADJP-PRD ( VBN betrayed ) ) ) ) ( NP-SBJ ( PRP he ) ) ( ADVP-TMP ( RB later ) ) ( VP ( VBD said ) ) ) """""" ##
Input: """""" Having just passed through one of the most profitable periods in their history these producers now see their prices eroding """""" >>> Output: """"""","( S ( S-TPC-1 ( NP-SBJ ( PRP They ) ) ( VP ( VBD having ) ( ADVP-TMP ( RB just ) ) ( ADVP-TMP ( RB passed ) ) ( ADVP-TMP ( RB through ) ) ( ADVP-TMP ( RB one ) ) ( ADVP-TMP ( RB of ) ) ( ADVP-TMP ( RB the ) ) ( ADVP-TMP ( RB most ) ) ( ADVP-TMP ( RB profitable ) ) ( ADVP-TMP ( RB periods ) ) ( ADVP-TMP ( RB in ) ) ( ADVP-TMP ( RB their ) ) ( ADVP-TMP ( RB history ) ) ) ( ADVP-TMP ( RB these ) ) ( NP-SBJ ( NN producers ) ) ) ( ADVP-TMP ( RB now ) ) ( ADVP-TMP ( RB see ) ) ( ADVP-TMP ( RB their ) ) ( ADVP-TMP ( RB prices ) ) ( ADVP-TMP (","( S ( S-ADV ( VP ( VBG Having ) ( ADVP ( RB just ) ) ( VP ( VBN passed ) ( PP-DIR ( IN through ) ( NP ( NP ( CD one ) ) ( PP ( IN of ) ( NP ( NP ( DT the ) ( ADJP ( RBS most ) ( JJ profitable ) ) ( NNS periods ) ) ( PP-LOC ( IN in ) ( NP ( PRP$ their ) ( NN history ) ) ) ) ) ) ) ) ) ) ( NP-SBJ-1 ( DT these ) ( NNS producers ) ) ( ADVP-TMP ( RB now ) ) ( VP ( VBP see ) ( S ( NP-SBJ ( PRP$ their ) ( NNS prices ) ) ( VP ( VBG eroding ) ) ) ) )"
"

Perform constituency parsing on the provided sentences in accordance with the Penn TreeBank annotation guidelines.
Input: """""" Ad Notes """""" >>> Output: """""" ( NP-HLN ( NN Ad ) ( NNS Notes ) ) """""" ##
Input: """""" The market crumbled """""" >>> Output: """""" ( S ( NP-SBJ ( DT The ) ( NN market ) ) ( VP ( VBD crumbled ) ) ) """""" ##
Input: """""" I felt betrayed he later said. """""" >>> Output: """""" ( S ( S-TPC-1 ( NP-SBJ ( PRP I ) ) ( VP ( VBD felt ) ( ADJP-PRD ( VBN betrayed ) ) ) ) ( NP-SBJ ( PRP he ) ) ( ADVP-TMP ( RB later ) ) ( VP ( VBD said ) ) ) """""" ##
Input: """""" Pricing cycles to be sure are nothing new for plastics producers """""" >>> Output: """"""","( S ( S-TPC-1 ( NP-SBJ ( NN Pricing ) ) ( VP ( VBZ cycles ) ) ) ( ADVP-TMP ( RB to ) ) ( ADVP-TMP ( RB be ) ) ( ADVP-TMP ( RB sure ) ) ( ADVP-TMP ( RB are ) ) ( ADVP-TMP ( RB nothing ) ) ( ADVP-TMP ( RB new ) ) ( ADVP-TMP ( RB for ) ) ( NNP plastics ) ( NN producers ) ) """""" ##","( S ( NP-SBJ ( NN Pricing ) ( NNS cycles ) ) ( S-ADV ( VP ( TO to ) ( VP ( VB be ) ( ADJP-PRD ( JJ sure ) ) ) ) ) ( VP ( VBP are ) ( NP-PRD ( NP ( NN nothing ) ) ( ADJP ( JJ new ) ) ) ( PP ( IN for ) ( NP ( NNS plastics ) ( NNS producers ) ) ) ) )"
"

Perform constituency parsing on the provided sentences in accordance with the Penn TreeBank annotation guidelines.
Input: """""" Ad Notes """""" >>> Output: """""" ( NP-HLN ( NN Ad ) ( NNS Notes ) ) """""" ##
Input: """""" The market crumbled """""" >>> Output: """""" ( S ( NP-SBJ ( DT The ) ( NN market ) ) ( VP ( VBD crumbled ) ) ) """""" ##
Input: """""" I felt betrayed he later said. """""" >>> Output: """""" ( S ( S-TPC-1 ( NP-SBJ ( PRP I ) ) ( VP ( VBD felt ) ( ADJP-PRD ( VBN betrayed ) ) ) ) ( NP-SBJ ( PRP he ) ) ( ADVP-TMP ( RB later ) ) ( VP ( VBD said ) ) ) """""" ##
Input: """""" And the financial decline of some looks steep only in comparison with the heady period that is just behind them """""" >>> Output: """"""","( S ( S-TPC-1 ( NP-SBJ ( PRP And ) ) ( VP ( VBD the ) ( NN financial ) ( NN decline ) ( NN of ) ( NN some ) ) ) ( ADVP-TMP ( RB looks ) ) ( ADJP-PRD ( JJ steep ) ) ( ADVP-TMP ( RB only ) ) ( ADVP-TMP ( RB in ) ) ( ADVP-TMP ( RB comparison ) ) ( ADVP-TMP ( RB with ) ) ( ADVP-TMP ( RB the ) ) ( ADVP-TMP ( RB heady ) ) ( ADVP-TMP ( RB period ) ) ( ADVP-TMP ( RB that ) ) ( ADVP-TMP ( RB is ) ) ( ADVP-TMP ( RB just ) ) ( ADVP-TMP ( RB behind ) ) ( ADVP-TMP ( RB them ) ) ) """""" ##","( S ( CC And ) ( NP-SBJ ( NP ( DT the ) ( JJ financial ) ( NN decline ) ) ( PP ( IN of ) ( NP ( DT some ) ) ) ) ( VP ( VBZ looks ) ( ADJP-PRD ( JJ steep ) ) ( PP ( ADVP ( RB only ) ) ( IN in ) ( NP ( NP ( NN comparison ) ) ( PP ( IN with ) ( NP ( NP ( DT the ) ( JJ heady ) ( NN period ) ) ( SBAR ( WHNP-1 ( WDT that ) ) ( S ( VP ( VBZ is ) ( ADVP ( RB just ) ) ( PP-LOC-PRD ( IN behind ) ( NP ( PRP them ) ) ) ) ) ) ) ) ) ) ) )"
"

Perform constituency parsing on the provided sentences in accordance with the Penn TreeBank annotation guidelines.
Input: """""" Ad Notes """""" >>> Output: """""" ( NP-HLN ( NN Ad ) ( NNS Notes ) ) """""" ##
Input: """""" The market crumbled """""" >>> Output: """""" ( S ( NP-SBJ ( DT The ) ( NN market ) ) ( VP ( VBD crumbled ) ) ) """""" ##
Input: """""" I felt betrayed he later said. """""" >>> Output: """""" ( S ( S-TPC-1 ( NP-SBJ ( PRP I ) ) ( VP ( VBD felt ) ( ADJP-PRD ( VBN betrayed ) ) ) ) ( NP-SBJ ( PRP he ) ) ( ADVP-TMP ( RB later ) ) ( VP ( VBD said ) ) ) """""" ##
Input: """""" We were all wonderful heroes last year says an executive at one of Quantum 's competitors """""" >>> Output: """"""","( S ( S-TPC-1 ( NP-SBJ ( PRP We ) ) ( VP ( VBD were ) ( ADJP-PRD ( JJ all ) ) ( ADJP-PRD ( JJ wonderful ) ) ( ADJP-PRD ( JJ heroes ) ) ) ) ( ADVP-TMP ( RB last ) ) ( NP-SBJ ( NN year ) ) ( NP-SBJ ( NN says ) ) ( NP-SBJ ( NN an ) ) ( NP-SBJ ( NN executive ) ) ( NN at ) ( NN one ) ( NN of ) ( NN Quantum ) ( NN 's ) ( NN competitors ) ) """""" ##","( SINV ( S-TPC-1 ( NP-SBJ ( PRP We ) ) ( VP ( VBD were ) ( DT all ) ( NP-PRD ( JJ wonderful ) ( NNS heroes ) ) ( NP-TMP ( JJ last ) ( NN year ) ) ) ) ( VP ( VBZ says ) ) ( NP-SBJ ( NP ( DT an ) ( NN executive ) ) ( PP-LOC ( IN at ) ( NP ( NP ( CD one ) ) ( PP ( IN of ) ( NP ( NP ( NNP Quantum ) ( POS 's ) ) ( NNS competitors ) ) ) ) ) ) )"
